source_name,source_type,source_RA,source_DEC,22present,27present
4FGL_J0851.9-4620e,SNR,132.9870,-46.3420,1,1
4FGL_J0617.2+2234e,SNR,94.3100,22.5800,1,1
4FGL_J0427.2+5533e,SNR,66.8150,55.5540,1,1
4FGL_J2301.9+5855e,SNR,345.4940,58.9200,1,1
4FGL_J1208.5-5243e,SNR,182.1300,-52.7300,1,1
4FGL_J1834.1-0706e,SNR,278.5310,-7.1100,1,1
4FGL_J1552.9-5607e,SNR,238.2500,-56.1300,1,1
4FGL_J2021.0+4031e,SNR,305.2700,40.5200,1,1
4FGL_J1923.2+1408e,SNR,290.8180,14.1450,1,1
4FGL_J2351.4-2818,agn,357.8686,-28.3116,1,1
4FGL_J1538.9+0425,agn,234.7345,4.4321,1,1
4FGL_J1530.5+5850,agn,232.6456,58.8352,1,1
4FGL_J1810.3+1332,agn,272.5977,13.5487,1,1
4FGL_J0955.8-4106,agn,148.9558,-41.1144,1,1
4FGL_J0154.6+0051,agn,28.6607,0.8619,1,1
4FGL_J0115.4-2917,agn,18.8584,-29.2934,1,1
4FGL_J2338.1+0325,agn,354.5288,3.4262,1,1
4FGL_J1346.5+5330,agn,206.6476,53.5017,1,1
4FGL_J1002.3-2810,agn,150.5849,-28.1737,1,1
4FGL_J2054.1-4054,agn,313.5355,-40.9049,1,1
4FGL_J0700.8+1551,agn,105.2066,15.8533,1,1
4FGL_J2339.4+3008,agn,354.8520,30.1407,1,1
4FGL_J1012.7+4228,agn,153.1939,42.4823,1,1
4FGL_J0801.3-0617,agn,120.3390,-6.2999,1,1
4FGL_J0023.6-4209,agn,5.9073,-42.1579,1,1
4FGL_J2249.9+0452,agn,342.4849,4.8692,1,1
4FGL_J0239.1+6634,agn,39.7840,66.5796,1,1
4FGL_J1415.9-1504,agn,213.9885,-15.0710,1,1
4FGL_J1814.7-3420,agn,273.6906,-34.3412,1,1
4FGL_J1442.0+0732,agn,220.5209,7.5466,1,1
4FGL_J0031.0-2327,agn,7.7564,-23.4581,1,1
4FGL_J1910.1-4704,agn,287.5405,-47.0703,1,1
4FGL_J1449.7-0910,agn,222.4410,-9.1781,1,1
4FGL_J1645.0+1654,agn,251.2682,16.9048,1,1
4FGL_J1824.7-3243,agn,276.1774,-32.7183,1,1
4FGL_J0240.2-0248,agn,40.0534,-2.8086,1,1
4FGL_J1644.8+1850,agn,251.2048,18.8375,1,1
4FGL_J0809.8+0507,agn,122.4532,5.1313,1,1
4FGL_J0013.6+4051,agn,3.4014,40.8563,1,1
4FGL_J1514.8+4448,agn,228.7193,44.8105,1,1
4FGL_J1109.8+4406,agn,167.4603,44.1019,1,1
4FGL_J0815.5+6554,agn,123.8799,65.9000,1,1
4FGL_J1544.9+3218,agn,236.2390,32.3035,1,1
4FGL_J1220.5-2745,agn,185.1455,-27.7655,1,1
4FGL_J1924.3+1601,agn,291.0928,16.0300,1,0
4FGL_J1122.0-0231,agn,170.5050,-2.5188,1,1
4FGL_J2323.1+2040,agn,350.7911,20.6768,1,1
4FGL_J1334.8-3856,agn,203.7022,-38.9411,1,1
4FGL_J1317.5-0153,agn,199.3759,-1.8961,1,1
4FGL_J0453.3+2843,agn,73.3340,28.7304,1,1
4FGL_J0800.5+3715,agn,120.1428,37.2589,1,1
4FGL_J0543.5-8741,agn,85.8936,-87.6861,1,1
4FGL_J0712.8-5637,agn,108.2134,-56.6311,1,1
4FGL_J1226.8-4907,agn,186.7212,-49.1265,1,1
4FGL_J0838.5+4013,agn,129.6287,40.2240,1,1
4FGL_J0803.5+2046,agn,120.8883,20.7678,1,1
4FGL_J0622.5+3120,agn,95.6475,31.3383,1,1
